SIZE_HA	FIRE_DATE	FEAT_AREA	FEAT_LEN
66.6	19310719	666624.8696	3013.0163
5.3	19320730	53568.6894	840.0506
604.9	19360720	6049258.991	14688.8914
773.7	19360726	7737618.949	14460.624
346.5	19360727	3465585.718	7715.1422
182.2	19310825	1822278.31	5732.3786
60.6	19310825	606204.8416	3963.3773
82.2	19380915	822729.9118	3672.797
12.4	19380920	124823.2807	1460.9409
4	19340621	40888.0228	736.6846
44.6	19310603	446029.728	3197.2988
107.9	19380530	1079540.254	4581.4579
26.2	19380728	262031.787	2562.1798
494.7	19380728	4947854.352	12321.3668
33.6	19370602	336914.6026	2153.1695
10.7	19370602	107304.1754	1197.9735
18.5	19330720	185815.1706	1912.6025
33.6	19310611	336412.0296	2458.9488
10	19310607	100363.4256	1227.0618
40.9	19370724	409508.8253	3352.0706
432	19310423	4320785.063	11659.4868
1	19360712	10196.514	371.2589
2.3	19340727	23886.1898	581.1342
34.8	19390428	348982.6472	3652.1582
18.5	19380611	185434.6867	1732.0995
4.1	19320516	41465.7484	786.7246
1.1	19360727	11420.0715	393.2822
1.8	19330514	18333.7482	507.9082
0.6	19370913	6346.8023	305.6154
18.5	19310726	185659.0386	1808.8434
15.3	19340818	153911.6971	1618.9942
26.4	19330818	264418.7196	2129.1422
44.9	19340821	449720.6827	3358.8595
32.4	19330825	324404.3297	2191.1617
1.8	19350529	18610.9835	502.4344
19.2	19310802	192618.1106	1827.9417
2.2	20070516	22960.0495	558.3372
6.6	19330828	66509.5018	1001.9004
12.6	19360809	126224.5125	1365.7456
4.9	19340823	49475.5342	831.3839
21.2	19320826	212389.0534	1954.9048
455.4	19360810	4554331.753	10625.0071
1.1	19340829	11136.4238	411.8535
43.4	19340829	434072.8402	2549.6772
15.2	19340829	152492.1254	1747.1483
10.2	19340829	102941.5083	1299.2707
1.9	19380828	19196.5647	525.525
0.7	19360814	7957.2467	328.2804
25.6	19380721	256231.4041	2189.7496
3.5	19340901	35420.146	743.6033
44	19340807	440971.9595	2681.8177
4.8	19380728	48237.7269	808.3879
254.8	19380723	2548258.44	6748.4661
10.7	19360827	107716.0674	1246.9744
2.8	19340828	28702.1918	630.0931
30.8	19390511	308214.8791	2943.494
1.7	20070516	17490.1844	494.4404
2.4	20070516	24029.9815	562.1245
1.6	20070516	16047.4541	498.8369
2.5	20070516	25378.08	598.1459
4.2	20070516	42607.378	776.4615
3.1	20070516	31661.8037	719.6197
4.2	20070516	42382.9678	833.0523
11.4	19310523	114848.6988	1388.9206
2.3	19380803	23305.4475	569.6373
347.2	19390512	3472373.801	7051.0509
68.6	19310816	686707.8098	3682.8565
40.4	19310601	404908.7367	3781.143
3.1	19370602	31496.2231	698.9787
45.8	19310604	458518.4425	2962.8606
8.1	20070516	81013.4208	1023.1189
1.2	19380514	12914.6797	413.3038
12.5	19330814	125094.5932	1628.2116
496.6	19360720	4966394.286	14490.3841
4.3	19340514	43774.9016	876.605
5.1	19380628	51645.5547	938.3244
2.4	19380623	24796.0442	591.5987
15.7	19390728	157456.369	1469.6755
964.2	19320805	9642413.38	23061.0161
11.6	19320806	116444.7305	1429.8778
490.1	19360715	4901024.463	8644.2065
11.6	19320806	116192.7498	1474.0079
28.4	19360715	284838.4795	2305.8305
5.2	19320806	52012.1984	863.8346
8.2	19360715	82966.6646	1289.9484
12.2	19320806	122802.9468	1345.2376
9.6	19320806	95995.6718	1222.1417
23.3	19320806	233845.8854	2347.7412
3.6	19320806	36837.2329	750.2703
3.9	19340515	39009.7502	759.2992
7.3	19340814	73335.0243	982.9393
7.9	19340814	79542.4378	1124.8402
4.2	19340814	42047.3361	774.9291
4.3	19340814	43048.1601	768.646
5.7	19340818	57838.4688	894.6592
4.4	19340818	44399.4683	771.6736
2.7	19340821	27243.909	605.8883
75.2	19310730	752396.6375	3449.8445
10.3	19360802	103410.0733	1283.6507
14.7	19380708	147618.1978	1659.6972
52.8	19360802	528794.1047	4381.1771
0.7	19360802	7976.399	326.301
3.9	19360802	39299.851	788.1696
0.7	19360802	7579.7619	319.0258
6.2	19360802	62993.7185	1121.0148
0.7	19360802	7521.3866	340.4308
0.7	19360802	7403.882	326.8589
0.5	19360802	5261.3373	274.0614
192.1	19310531	1921463.248	7905.5553
116.2	19340823	1162272.043	4854.3784
176.7	19380723	1767863.32	6451.0405
902.2	19380721	9022100.613	16519.5787
73.7	19310731	737159.3808	3757.7987
5.9	19340901	59227.3067	934.3548
10.1	19340901	101571.7311	1215.9513
27.8	19340830	278272.7664	2430.9656
89.8	20070516	898523.3457	3568.3666
20.6	19310812	206445.3328	1825.7979
268.4	19330725	2684015.29	7123.458
6.2	19340727	62775.2977	997.9217
1.5	20070516	15398.6059	451.735
1739.3	19360802	17393502.08	25193.4658
3626.5	19390813	36265778.82	28182.7654
166.5	19390426	1665904.554	5948.0727
5.2	19320721	52285.3348	901.8123
6.2	19340728	62918.5928	980.2723
27.6	19340728	276293.1457	2042.2069
5.3	19340728	53652.7084	1055.7321
4825.2	19340728	48252180.72	54656.8111
4.9	19390815	49506.5943	804.9544
185.4	19390815	1854559.449	6995.8077
14.3	19310730	143988.3671	1600.133
87.5	19310609	875151.4102	3856.2994
51.6	19340711	516597.9433	3009.9164
2	20070516	20377.6832	541.2801
95	19370718	950120.4464	4720.9776
5.1	19390530	51564.455	846.2408
1.8	19360714	18566.0635	610.5625
304	19330722	3040543.202	9217.9163
206.2	19330721	2062584.31	7576.2377
12.2	19330723	122571.5755	1273.6814
707	19360718	7070397.294	13127.4727
542.5	19340826	5425551.456	8505.9327
12	19380901	120218.3598	1314.7382
4	19380902	40920.8976	758.1499
232.2	19380903	2322074.116	7437.538
18.6	19320625	186719.5947	1766.1205
2975.2	19310730	29752812.13	27068.1512
60.8	19390825	608895.815	3093.1443
4538.6	19310809	45386469.51	34872.851
20.4	19320625	204550.0398	2452.9821
29.6	19330723	296319.2072	2525.5969
181.5	19330719	1815637.882	9147.9975
6	19330719	60876.8672	985.7866
16	19330719	160378.5522	1528.3379
0.7	19360702	7080.4669	307.7233
0.7	19360702	7148.225	310.9873
1.1	19360702	11383.3068	387.4368
0.8	19360702	8955.8903	353.6216
0.6	19360702	6062.8681	294.5923
11.7	19320805	117009.0259	1358.794
3.8	19320805	38235.3515	805.7574
4.4	19320725	44346.9755	790.1402
9.2	19320725	92046.6533	1222.0018
10.6	19340825	106218.5919	1178.0435
1289.1	19340825	12891405.8	19838.7688
55.6	19310824	556611.9463	5042.5913
19.8	19310824	198506.5195	2077.6294
9.5	19310824	95393.7842	1286.1401
11.9	19310824	119750.4245	1422.9173
32.3	19310530	323981.2642	2191.0211
77	19310530	770403.2552	3880.4335
49	19310530	490589.5566	2876.2228
34.4	19310514	344101.6458	2217.2665
14	19310513	140193.4362	2856.6551
10799.9	19330726	107999229.8	51523.9725
10.4	20070516	104362.9504	1470.034
114.4	19360528	1144327.9	4327.2341
127.8	19390513	1278273.418	4594.0586
209.2	19310603	2092686.288	5829.1361
17.5	19310603	175923.1086	1905.8735
87.4	19330714	874992.7125	4355.1664
1.9	19380612	19679.9128	516.6424
5	19380612	50520.8328	890.6343
2.1	19380612	21879.3625	541.9674
4.4	19380612	44402.2629	776.0266
0.6	19380612	6240.2271	290.9213
1	19380612	10181.0264	371.6369
605	19360723	6050672.88	15947.1905
9.1	19360723	91918.973	1161.6937
